Team1,Team2,Date,Venue,Result
MI,KKR,4/28/2019,KKR,KKR
KXIP,SRH,4/29/2019,SRH,SRH
RCB,RR,4/30/2019,RCB,No Result
DC,CSK,5/1/2019,CSK,CSK
MI,SRH,5/2/2019,MI,No Result
KKR,KXIP,5/3/2019,KXIP,KKR
SRH,RCB,5/4/2019,RCB,RCB
RR,DC,5/4/2019,DC,DC
MI,KKR,5/5/2019,MI,MI
CSK,KXIP,5/5/2019,KXIP,KXIP
CSK,MI,5/7/2019,CSK,MI
DC,SRH,5/8/2019,Neutral,DC
DC,CSK,5/10/2019,Neutral,CSK
CSK,MI,5/12/2019,SRH,MI
